,report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,week
123,2022-05-15,2079612,00:24:11,110110,79.56,12.13,25928.95,3058125643,11030871,18.886676959404234,0.044089955241650845,14.5476918958155,11.609235145107636,4.3765114539857715,6
124,2022-05-22,2412784,00:23:59,129313,81.45,12.83,26023.28,3060565255,11083833,18.65847981254785,0.03907519280631834,14.696291825474052,11.769991101082647,4.399989335048054,6
125,2022-05-30,2511017,00:24:12,143516,84.83,14.44,26122.55,3063076272,11136057,17.496425485660136,0.03953378252715931,14.736198408327876,11.874201806224184,4.440649253819643,0
126,2022-06-06,2684974,00:24:00,152767,87.06,14.58,26224.19,3065761246,11185835,17.57561515248712,0.03785511517057521,14.803181602451774,11.936669163803597,4.4665975361241514,0
127,2022-06-13,2939275,00:24:03,158366,89.12,14.94,26328.25,3068700521,11232063,18.560012881552858,0.035403288225838006,14.893673510264964,11.972664088857966,4.489983776178974,0
128,2022-06-19,3065038,00:23:12,164308,91.16,14.82,26434.23,3071765559,11276221,18.65422255763566,0.03457705907724472,14.935570525318008,12.009497994258108,4.512616204377483,6
129,2022-06-26,3118333,00:23:21,170532,95.95,16.0,26546.18,3074883892,11321069,18.285911148640725,0.03590059175848122,14.952809122127503,12.046678241379862,4.563827222453709,6
130,2022-07-03,3158528,00:23:21,177501,97.55,15.38,26659.11,3078042420,11367127,17.794423693387643,0.03575399679850867,14.965616654249146,12.086731521684555,4.5803650670691205,6
131,2022-07-10,3249717,00:23:27,183451,98.1,16.35,26773.56,3081292137,11414846,17.714359692779,0.035218451329761945,14.994078473591427,12.119702880845159,4.585987366571318,6
132,2022-07-17,3296880,00:23:17,189892,96.61,16.11,26886.29,3084589017,11462723,17.361868851768374,0.03418990075465288,15.008487124667196,12.1542107684775,4.570682255529419,6
133,2022-07-24,3381214,00:23:13,192633,99.32,16.23,27001.85,3087970231,11508417,17.552620786677256,0.03417411616064526,15.033745374570158,12.16854210323308,4.598346960639966,6
134,2022-07-31,3562922,00:23:15,199934,102.04,17.68,27121.57,3091505431,11557432,17.820490761951444,0.033601633715248325,15.08609155268402,12.205742591068192,4.625364893273611,6
135,2022-08-07,3668886,00:23:14,208261,106.21,18.23,27244.46,3095068353,11606145,17.616769342315653,0.03391765238821812,15.115398631718152,12.246547379762553,4.6654182663334485,6
136,2022-08-14,3752859,00:23:40,214463,112.34,19.64,27368.9,3098737239,11655953,17.498864606015957,0.03516785469424778,15.138028507467345,12.275892508298885,4.721529987104287,6
137,2022-08-21,3296456,00:23:14,219238,96.87,15.99,27613.74,3105786554,11763607,15.035970041689852,0.0342367682141063,15.00835850995665,12.297913176695527,4.573369873438294,6
138,2022-08-28,4047052,00:23:12,226977,116.79,19.69,27750.22,3109833606,11819266,17.830229494618397,0.03372331267302719,15.213499272799423,12.332603969744259,4.760377450290474,6
139,2022-09-04,4055208,00:23:15,231135,119.57,20.07,27889.86,3113888814,11873405,17.544759556103575,0.03443473183126487,15.215512538914027,12.350757234384064,4.7839019739314885,6
140,2022-09-11,4250937,00:22:55,231406,124.06,20.4,28034.31,3118139751,11922607,18.370037941972118,0.033983095962137284,15.262649987188766,12.351929022532612,4.820765319544972,6
141,2022-09-18,4220300,00:22:52,230698,120.28,20.17,28174.77,3122360051,11970026,18.293613295303818,0.033279624671231904,15.25541677353281,12.34886477485682,4.789822358120328,6
142,2022-09-25,4053315,00:22:55,227490,118.95,18.66,28312.39,3126413366,12012523,17.81755241988659,0.033949989083009835,15.215045622797641,12.334861560363091,4.778703236748966,6
