report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,cohort,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,month
2024-05-26,7998999,00:32:48,230549,236.58,38.41,42963.88,3544360853,15879980,2024-05,34.695440014920905,0.034378051553700655,15.894826966815325,12.34821870017153,5.4662864171175904,5
2024-06-02,4033902,00:32:44,237971,122.67,19.85,42210.32,3522671513,15930092,2024-06,16.951233553668303,0.03533055587369252,15.210244703695997,12.379904096489955,4.80949782304466,6
2024-06-09,4215837,00:32:51,246241,129.04,20.43,42359.79,3526887350,15980814,2024-06,17.120775987751838,0.035454406799883396,15.254358706216843,12.414066010143083,4.8601224338169535,6
2024-06-19,4387957,00:33:01,255221,132.94,20.57,42513.31,3531275307,16021103,2024-06,17.192774105579087,0.03498439022989514,15.29437430087619,12.44988511546852,4.889897898613436,6
2024-06-23,4339333,00:32:58,259733,130.66,20.07,42664.03,3535614640,16069742,2024-06,16.706899007827268,0.03473575316759511,15.283231207629642,12.467409459273973,4.872598529412604,6
2024-06-30,4568293,00:32:52,275603,135.38,21.59,42821.0,3540182933,16106817,2024-06,16.57562871231445,0.03436075575712854,15.334650170117374,12.52671670340347,4.908085639080461,6
2024-07-07,4454315,00:32:57,277826,132.12,20.73,42973.85,3544637248,16123196,2024-07,16.032750714475966,0.034315040584242465,15.309383847244368,12.534750297435474,4.883710600522589,7
2024-07-14,4657016,00:32:51,285278,136.71,20.67,43131.22,3549294264,16140278,2024-07,16.324483486283555,0.03379417206211016,15.353885457646824,12.561219422416196,4.9178618939439005,7
2024-07-21,4769327,00:32:46,291552,140.09,21.22,43292.54,3554063591,16194713,2024-07,16.358409477554606,0.03382238206774247,15.377715762763623,12.582973656513586,4.942285073208023,7
2024-07-28,4923464,00:32:48,300564,144.55,22.46,43459.55,3558987055,16252889,2024-07,16.380750855059155,0.03392123919256849,15.409522905771626,12.613415988650111,4.973625468462355,7
2024-08-04,4878082,00:32:47,303152,147.61,21.84,43629.0,3563865137,16308454,2024-08,16.09120837071832,0.03473701344093847,15.400262667784816,12.621989608872143,4.994573660548905,8
2024-08-11,4847343,00:32:36,305100,141.25,21.64,43791.9,3568712480,16364235,2024-08,15.88771878072763,0.033603976446478,15.39394127774567,12.628394870704762,4.9505313700265505,8
2024-08-18,4697428,00:32:45,307134,135.78,21.65,43949.33,3573409908,16420097,2024-08,15.294392675509712,0.033514084728919744,15.362525682850537,12.63503941342343,4.911035928873501,8
2024-08-25,5084157,00:32:44,311698,147.63,23.61,44120.57,3578494065,16478191,2024-08,16.311163369671927,0.03368109993456143,15.441639792010577,12.649790049308793,4.994709143545997,8
2024-09-01,5125738,00:32:44,314601,153.02,23.42,44297.01,3583619803,16534631,2024-09,16.2928217011389,0.03442236025329425,15.449785072621742,12.659060448240805,5.030568631803706,9
2024-09-08,5152799,00:33:07,315923,153.85,24.42,44475.28,3588772602,16586963,2024-09,16.310300294692063,0.03459673082532425,15.455050620145554,12.6632537919904,5.035978101768051,9
2024-09-15,5221695,00:32:48,317262,154.14,25.98,44655.39,3593994297,16640596,2024-09,16.458620950507783,0.03449454631111162,15.468332619794758,12.667483209920386,5.037861280349847,9
2024-09-22,4863331,00:32:28,317280,147.23,24.09,44826.71,3598857628,16686436,2024-09,15.328199067070095,0.03522688461879317,15.397234152050071,12.667539943753622,4.991995989877317,9
2024-09-29,4841909,00:32:36,298721,143.1,21.99,44991.8,3603699537,16740373,2024-09,16.208800184787812,0.03409605591513595,15.39281962241671,12.607265306386443,4.963543686562405,9
2024-10-06,5003913,00:32:39,307076,149.26,23.64,45164.71,3608703450,16795839,2024-10,16.29535684977009,0.03455295885440054,15.425730764326671,12.634850552935413,5.005689751703241,10
2024-10-13,5055925,00:32:43,307428,146.77,23.29,45334.77,3613759375,16849075,2024-10,16.445883263723537,0.033635783758659395,15.436071380838047,12.635996192470712,4.988866735623107,10
2024-10-20,4926229,00:33:01,309401,141.32,22.88,45498.97,3618685604,16901386,2024-10,15.92182636772344,0.03333178380460997,15.410084344604822,12.642393449177936,4.951026822490944,10
2024-10-27,5202953,00:32:49,317084,150.59,24.56,45674.12,3623888557,16958460,2024-10,16.408752885670673,0.03366357528119128,15.464736906981592,12.666922001984428,5.0145609120987285,10
2024-11-03,5328440,00:33:02,323629,151.53,25.92,45851.57,3629216997,17015184,2024-11,16.464655516038427,0.0333024299795062,15.48856907037519,12.687353076962005,5.020783625148071,11
2024-11-10,4939313,00:33:09,308463,146.73,22.65,46020.95,3634156310,17062427,2024-11,16.012659541014642,0.03429221837125932,15.412736810667228,12.639357179964604,4.988594163219376,11
2024-11-17,4848714,00:32:29,303912,137.55,21.14,46179.64,3639005024,17108079,2024-11,15.954335465529496,0.03272826568034328,15.394224073114785,12.624493464798554,4.923987487370583,11
2024-11-24,4503162,00:32:56,299981,130.53,19.73,46329.9,3643508186,17152363,2024-11,15.011490727746091,0.033367664765336,15.320290374652577,12.611474418299364,4.871603085400698,11
2024-12-01,4142848,00:32:56,288939,121.96,19.31,46471.16,3647651034,17202448,2024-12,14.338140576384635,0.034099730426991284,15.236894031996448,12.57397087215124,4.803693122120054,12
2024-12-08,4239651,00:32:31,273264,115.31,18.56,46605.03,3651890685,17254588,2024-12,15.514853767784999,0.03157571224612592,15.259991512499623,12.518193639858973,4.747624153783025,12
2024-12-15,4065111,00:32:14,259633,111.88,17.57,46734.48,3655955796,17304083,2024-12,15.6571429671883,0.03184414890515905,15.2179516068643,12.46702437437725,4.717426868333759,12
2024-12-22,3980505,00:32:15,255335,109.92,17.31,46861.71,3659936301,17355262,2024-12,15.58934341159653,0.03196328104097344,15.196919253633583,12.45033168744846,4.699752828474039,12
2024-12-29,3630688,00:33:06,251755,101.6,18.47,46981.78,3663566969,17417837,2024-12,14.421512978888204,0.033070867009228004,15.104932719962614,12.43621167135677,4.6210435351443815,12
2025-01-05,3883340,00:32:29,259883,101.23,18.86,47101.87,3667450309,17476570,2025-01,14.942647268193765,0.03092441043019669,15.172206166044598,12.46798680871728,4.6173951556106605,1
2025-01-12,3565641,00:32:42,233480,98.49,14.96,47215.33,3671015950,17517613,2025-01,15.271719205071099,0.031817560993941896,15.086854399314358,12.360851699317728,4.589955020181611,1
2025-01-19,3607929,00:32:54,231960,103.62,15.54,47334.49,3674623879,17559425,2025-01,15.554099844800827,0.033027257465432384,15.098644481478788,12.354320221990378,4.640730361386642,1
2025-01-26,3328676,00:33:13,224670,97.32,14.71,47446.52,3677952555,17597782,2025-01,14.815845462233497,0.03365602419700806,15.018085185296147,12.322387937911522,4.578004517915322,1
2025-02-02,3646989,00:32:43,234612,105.9,16.05,47568.48,3681599544,17641438,2025-02,15.54476753107258,0.03343854341211339,15.109412453608588,12.36568836478849,4.662495252607361,2
2025-02-09,3701801,00:32:46,234979,107.45,16.44,47692.38,3685301345,17684156,2025-02,15.753752462986053,0.03346749325531005,15.124330015943569,12.367251427431174,4.67702562308852,2
2025-02-16,3438016,00:32:19,224788,102.7,16.83,47811.91,3688739361,17724567,2025-02,15.294481911845828,0.03476714477186842,15.050405118782631,12.32291301479395,4.631812116934513,2
2025-02-23,3494559,00:32:26,227521,102.23,15.85,47929.98,3692233920,17765470,2025-02,15.359281121303088,0.03378967131474958,15.066717745431138,12.334997820805357,4.627225176768922,2
2025-03-02,3778483,00:31:58,230797,111.19,17.43,48058.6,3696012403,17817270,2025-03,16.371456301425063,0.03404011609950342,15.14483316429292,12.349293815264705,4.711240449715158,3
2025-03-09,3664637,00:32:04,229704,103.82,17.1,48179.52,3699677040,17862846,2025-03,15.953736112562254,0.03299644685135253,15.114239843377144,12.344546802543853,4.642658630399083,3
2025-03-16,3833467,00:32:06,234706,110.44,18.79,48308.74,3703510507,17912135,2025-03,16.333059231549257,0.033710998425185344,15.159280173622657,12.366088946062836,4.704472387061954,3
2025-03-23,3752572,00:31:56,230544,106.07,18.37,48433.19,3707263079,17958624,2025-03,16.27703171628843,0.03316125580002195,15.13795202951421,12.348197012572715,4.664099253517379,3
2025-03-30,3730849,00:32:00,232304,107.62,18.12,48558.93,3710993928,18006762,2025-03,16.06020128796749,0.03370278454046251,15.132146379660893,12.355802137723469,4.678606504061274,3
2025-04-06,3863496,00:31:32,230965,112.18,18.99,48690.1,3714857424,18056253,2025-04,16.727625397787545,0.033951115777006116,15.16708303102458,12.350021462872835,4.7201047240801906,4
2025-04-13,3573337,00:31:52,229889,100.81,17.36,48808.26,3718430761,18105777,2025-04,15.543749374698224,0.03306992875287162,15.089010451057696,12.345351862716623,4.61323755706585,4
